id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
1173;Bareback: A Tomato Project;Various;1999;Paperback;Gingko Press;Tomato;Used;5;Aaron & Tina's;Graphic Design, Monograph;2.4;NULL;9;Bareback A Tomato Project is brilliant. A stunning collection of art created and compiled by the members of the world-renowned, London based art collective, tomato, whose commercial work includes short films and tv commercials. Members are Steve Baker, Michael Horsham, Graham Wood, Karl Hyde, Jason Kedgley, Rick Smith, Simon Taylor, Dirk Van Dooran and John Warwicker. Bareback is a distillation of the group's personal work which has been exhibited at 15 venues around the world over the past 2 years including Tokyo, Munich and Brno. In style and tenor it is pure cutting edge.;1173;"Electronica group \"Underworld\" is part of this collective. ";2
1174;+Rosebud No.6 (Ideal);Herms, Ralf;2007;Paperback with Slip-Cover;Die Gestalten Verlag ;Various;Very Good;40;Aaron & Tina's;Graphic Design, Illustration, Photography;4;NULL;9;"In times of permanent change and an all-pervasive state of unrest, design magazine +rosebud reaches out to readers to question our ideals. Over 250 artists, designers, photographers, scientists, philosophers and authors from around the globe have examined the decline, revival and genesis of ideals showcased in this sixth issue. \"Ideal\", presents a look into the future - ideals acknowledged today, shaping our tomorrow with a universe critically illuminating our values.";1174;NULL;2
1175;+Rosebud No.3 (Blindtext);Herms, Ralf;2002;Hardcover (Board Book);Die Gestalten Verlag ;Various;Like New;60;Aaron & Tina's;Graphic Design, Illustration, Photography;1.5;NULL;9;rosebud is a design magazine that operates with the desire to explore the possibilities and potentials that paper and 2D- structure have to offer. rosebud no. 3 is dedicated to the subject matter blind text. The term blind text stands for a random, meaningless text that serves presentational layout purposes when the real text is not existent. The many facets of a blind text become clear through a load of eye candy, further through contributions on the topic by international authors, artists, academics and designers. Via form, structure and content, rosebud no. 3 proves that a blind text´s status reaches far beyond a variable parameter.;1175;Very nice presentation – there's a mini-book in the bottom of the inner-spine. ;2
1861;The Dinner Party Cook Book;N/A;1962;Hardcover with jacket;Lane Book Co.;N/A;Used;5;George & Patty;Food, Cooking;2.2;231;NULL;Unique and tested dinner party menus and recipes. Each dinner is designed for convenient serving. All are planned so that they can be served by one person. Recipes are easy to prepare and many of the dishes may be prepared beforehand to give you more time with guests.A special chapter is devoted to appetizers and hors d'oeuvres. Tips on choosing wines, the invitation, and seating.;1861;NULL;2
1176;+Rosebud No.4 (Action);Herms, Ralf;2003;Hardcover (Board Book);Die Gestalten Verlag ;Various;Like New;30;Aaron & Tina's;Graphic Design, Illustration, Photography;2.85;NULL;9;Action! The fourth issue of award-winning design magazine +Rosebud once again breaks the conventions of contemporary design publications to make current cultural developments visible. Represented by authors, designers, artists, architects and scientists, the collective +Rosebud give numerous and surprising insight into the mechanisms of a fast and faster moving world.;1176;Very nice presentation – there's a mini-book in the bottom of the inner-spine. ;2
1177;Isotype: Design and Contexts 1925 1971;Burke, Christopher;2014;Hardcover;Hyphen Press;Various;Like New;200;Aaron & Tina's;Graphic Design, Iconography;2.82;NULL;9;Austrian sociologist Otto Neurath developed the Isotype system of pictograms in the early 1930s as a way to communicate complex information in visual form. Appearing in a variety of media, including books, posters, and films, it was designed to inform ordinary citizens about their place in the world. Isotype is the first comprehensive account of this seminal movement in the history of visual communication. Featuring new research, including previously unseen visual material, this long-overdue account traces the development of the Isotype system from its birth in prewar Vienna, through a wartime shift of production to the Netherlands, and finally to 1940s England, where the Isotype Institute continued to produce work until 1971. Isotype documents the visual system's worldwide influence, including its educational uses by the United States, Soviet Russia, and Africa.;1177;NULL;2
1178;WA: The Essence of Japanese Design;Menegazzo, Rossella & Kenya Hara;2014;Hardcover (French Folded Pages);Phaidon;Various;Like New;80;Aaron & Tina's;Graphic Design, Product Design, Industrial Design, Japan Culture;2.52;NULL;9;Explore the enduring beauty of Japanese design through some 250 objects, ranging from bento boxes, calligraphy brushes, and Shoji sliding doors to Noguchi’s Akari lamp, the iconic Kikkoman soy sauce bootle, and a modern‐day kimono designed by Issey Miyake.  Printed on craft paper and bound in the traditional Japanese style, WA features stunning, full‐page illustrations and an introduction by MUJI art director Kenya Hara.;1178;NULL;2
1179;Syn Chron;Nicolai, Carsten;2013;Hardcover;Gestalten;Nicolai, Carsten;Like New;30;Aaron & Tina's;Conceptual Art, Multi-Media;1;NULL;9;Carsten Nicolai brings art, architecture, and music together in one inventive project. syn chron documents artist and musician Carsten Nicolai's eponymous project--in analog form as a book and in digital form on an included DVD. The centerpiece of syn chron is a mobile space that simultaneously serves as a body for transmitting acoustics, a resonant room, and projection surface. This space, which was constructed by Werner Sobek, is a crystalline architectonic structure whose translucent, synthetic skin is a medium for sonic and optic impulses. Electronic music composed by Nicolai generates projections of modulated light that are triggered by lasers. Visitors can enter the structure and experience it from the outside. Nicolai has presented many concerts in this installation, including those at the New National Gallery in Berlin, at Ycam in Yamaguchi, and at biennials in Berne and Singapore. This book showcases syn chron in a rich selection of images and texts. The included DVD features supplementary audio and video material. One of Germany's most famous contemporary artists, Carsten Nicolai has been working at the intersection between art and science since the early 1990s. In the books Grid Index, Moiré Index, and cyclo. id, he successfully documented fundamental visual and sonic structures.;1179;NULL;2
1180;Schiaparelli & Prada: Impossible Conversations;Koda, Harold;2012;Hardcover;Metropolitan Museum of Art;Prada;Like New;30;Aaron & Tina's;Fashion Design;2.5;NULL;9;"The Met's Spring 2012 Costume Institute exhibition, Schiaparelli and Prada: Impossible Conversations, explores the striking affinities between Elsa Schiaparelli and Miuccia Prada, two Italian designers from different eras. Inspired by Miguel Covarrubia's \"Impossible Interviews\" for Vanity Fair in the 1930s, the exhibition features orchestrated conversations between these iconic women to suggest new readings of their most innovative work. Iconic ensembles will be presented with videos of simulated conversations between Schiaparelli and Prada directed by Baz Luhrmann, focusing on how both women explore similar themes in their work through very different approaches.";1180;NULL;2
1181;Octavo Redux 1:1 - A Record of Octavo Journal of Typography;Muir, Hamish & Mark Holt;2017;Hardcover with Vellum Jacket;Unit Editions;8VO;Like New;500;Aaron & Tina's;Graphic Design, Monograph;5.6;NULL;9;"One of 80 original 2017 limited \"red\" editions.";1181;1st Printing and Edition - Kapor named in the book. ;2
1182;Typography 23: Annual of the Type Directors Club;Williams,  Allison Muench ;2002;Hardcover with jacket;HBI;Various;Used;5;Aaron & Tina's;Graphic Design, Typography, Reference;3;300;9;NULL;1182;NULL;2
1270;Typography 13: Annual of the Type Directors Club;Type Director Club;1992;Hardcover with jacket;Watson-Guptill;Various;Used;10;Aaron & Tina's;Graphic Design, Typography, Reference;3;272;9;NULL;1270;NULL;2
1271;Typography 18: Annual of the Type Directors Club;Type Director Club;1997;Hardcover with jacket; Watson-Guptill;Various;Used;20;Aaron & Tina's;Graphic Design, Typography, Reference;2.92;272;9;NULL;1271;NULL;2
1272;Typography 9: Annual of the Type Directors Club;Type Director Club;1988;Hardcover with jacket;Watson-Guptill;Various;Used;20;Aaron & Tina's;Graphic Design, Typography, Reference;2.5;208;9;NULL;1272;NULL;2
1273;Typography 16: Annual of the Type Directors Club;Appellof, Marian E.;1995;Hardcover with jacket;Watson-Guptill;Various;Used;10;Aaron & Tina's;Graphic Design, Typography, Reference;2.85;272;9;NULL;1273;NULL;2
1274;Typography 10: Annual of the Type Directors Club;Type Director Club;1989;Hardcover with jacket;Watson-Guptill;Various;Used;10;Aaron & Tina's;Graphic Design, Typography, Reference;2.5;232;9;NULL;1274;NULL;2
1275;Typography 7: Annual of the Type Directors Club;Type Director Club;1986;Hardcover with jacket;Watson-Guptill;Various;Used;10;Aaron & Tina's;Graphic Design, Typography, Reference;2.6;384;9;NULL;1275;NULL;2
